D,k,minpoly,degree,rho,classes,rules,code,windows,kappa_min,kappa_max,strict,name
2,2,x^3 - 3*x^2 + 1,3,2.879385241571,34,504,4991,10,0.135203,0.26672,1,
2,2,x^4 - 2*x^3 - 2*x^2 - x - 1,4,2.863130743242,2,24,5111,10,0.14337,0.14337,1,
2,2,x^3 - 3*x^2 - x + 4,3,2.860805853111,2,12,31931,11,0.213294,0.213294,1,
2,2,x^4 - 3*x^3 + x^2 - 2*x + 1,4,2.852145288503,3,48,7671,11,0.217668,0.217668,1,
2,2,x^3 - 4*x^2 + 4*x - 2,3,2.839286755214,10,132,38591,11,0.224187,0.286953,1,
2,2,x^3 - 2*x^2 - 2*x - 1,3,2.831177207208,27,408,6103,10,0.159562,0.228314,1,
2,2,x^4 - 3*x^3 + x^2 - x - 1,4,2.815776408639,3,48,15727,11,0.236183,0.236183,1,
2,2,x^3 - 2*x^2 - 3*x + 2,3,2.813606502648,11,96,6014,10,0.168543,0.237295,1,
2,2,x^4 - 3*x^3 + x^2 - 2*x + 2,4,2.807157846702,2,24,15847,11,0.240606,0.240606,1,
2,2,x^4 - 2*x^3 - 2*x^2 - 2,4,2.803989110945,2,24,15742,11,0.242235,0.242235,1,
